City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vila Velha,BR,-20.3297,-40.2925,78.75,85,40,10.36,light rain
80,Cockburn Town,TC,21.4612,-71.1419,77.99,66,3,18.95,clear sky
81,Sur,OM,22.5667,59.5289,70.36,49,3,13.85,clear sky
82,Saint-Louis,SN,16.3333,-15.0,73.18,19,76,10.58,broken clouds
83,Rincon,US,32.296,-81.2354,64.9,89,75,10.36,broken clouds
84,Faanui,PF,-16.4833,-151.75,81.48,74,52,14.45,light rain
85,Celestun,MX,20.8667,-90.4,78.4,76,100,5.44,overcast clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,71.51,78,75,0.0,broken clouds
87,Kapaa,US,22.0752,-159.319,76.98,86,75,16.11,broken clouds
88,Hermanus,ZA,-34.4187,19.2345,63.81,83,100,12.62,light rain
89,Marawi,PH,7.9986,124.2928,73.26,88,100,3.24,overcast clouds
90,Qaanaaq,GL,77.484,-69.3632,-20.25,69,9,2.28,clear sky
91,Klyuchi,RU,52.2667,79.1667,21.49,80,18,19.71,few clouds
92,Sangar,RU,63.9242,127.4739,-24.7,95,100,10.16,overcast clouds
93,Ilulissat,GL,69.2167,-51.1,1.42,46,22,13.8,few clouds
94,Meulaboh,ID,4.1363,96.1285,78.13,83,79,2.8,broken clouds
95,Saskylakh,RU,71.9167,114.0833,-43.51,100,87,5.37,overcast clouds
96,Cascais,PT,38.6979,-9.4215,51.98,73,0,8.01,clear sky
97,Arraial Do Cabo,BR,-22.9661,-42.0278,73.92,93,40,21.9,scattered clouds
98,San Cristobal,VE,7.7669,-72.225,68.18,97,19,3.02,few clouds
99,Japura,ID,-0.3167,102.35,77.74,84,100,3.42,moderate rain
100,San Julian,MX,21.0167,-102.1667,56.17,41,0,5.3,clear sky
101,Klaksvik,FO,62.2266,-6.589,41.92,91,35,6.6,scattered clouds
102,Morondava,MG,-20.2833,44.2833,76.33,84,100,9.69,overcast clouds
103,Tasiilaq,GL,65.6145,-37.6368,8.76,87,85,4.65,overcast clouds
104,Dicabisagan,PH,17.0818,122.4157,75.2,88,69,14.07,light rain
105,Talnakh,RU,69.4865,88.3972,-21.8,99,97,2.73,overcast clouds
106,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.09,91,95,13.87,overcast clouds
107,Yerbogachen,RU,61.2767,108.0108,-36.06,100,35,3.02,scattered clouds
108,Tazovskiy,RU,67.4667,78.7,-7.49,98,100,11.52,light snow
109,Takoradi,GH,4.8845,-1.7554,78.04,79,91,3.58,overcast clouds
110,Bedi,IN,22.5,70.05,61.48,48,0,15.61,clear sky
111,Baykit,RU,61.67,96.37,-26.61,100,67,1.66,broken clouds
112,Nanga Eboko,CM,4.6833,12.3667,65.52,49,81,2.21,broken clouds
113,Hasaki,JP,35.7333,140.8333,50.29,34,39,10.02,scattered clouds
114,Boddam,GB,57.4667,-1.7833,44.98,98,100,16.31,moderate rain
115,Souillac,MU,-20.5167,57.5167,77.38,78,40,4.61,scattered clouds
116,Tuatapere,NZ,-46.1333,167.6833,69.42,59,100,4.03,overcast clouds
117,Cape Town,ZA,-33.9258,18.4232,68.76,78,75,6.91,broken clouds
118,Dingle,PH,10.9995,122.6711,74.61,95,100,6.4,overcast clouds
119,Chimore,BO,-16.9833,-65.1333,73.11,99,100,1.12,very heavy rain
120,Paracuru,BR,-3.41,-39.0306,81.1,82,92,11.25,overcast clouds
121,Quixada,BR,-4.9714,-39.0153,75.11,82,95,4.29,overcast clouds
122,Xai-Xai,MZ,-25.0519,33.6442,71.02,92,7,2.1,clear sky
123,Uige,AO,-7.6087,15.0613,64.49,97,100,2.33,light rain
124,Deputatskiy,RU,69.3,139.9,-38.56,95,18,2.17,few clouds
125,Castro,BR,-24.7911,-50.0119,64.22,98,100,1.88,overcast clouds
126,Inirida,CO,3.8653,-67.9239,71.71,95,100,2.15,overcast clouds
127,Camacha,PT,33.0833,-16.3333,60.22,63,75,12.66,broken clouds
128,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,72.36,95,16,2.48,few clouds
129,Shangrao,CN,28.4532,117.9686,46.27,73,20,5.97,few clouds
130,Nalut,LY,30.3333,10.85,48.63,65,4,9.95,clear sky
131,Padang,ID,-0.9492,100.3543,78.85,74,99,3.33,overcast clouds
132,Narsaq,GL,60.9167,-46.05,-5.58,62,55,10.6,broken clouds
133,San Jose,US,37.3394,-121.895,55.27,76,75,4.61,broken clouds
134,Bathsheba,BB,13.2167,-59.5167,77.61,83,75,17.27,broken clouds
135,Leshan,CN,29.5623,103.7639,46.81,78,100,4.92,overcast clouds
136,Nagato,JP,34.3833,131.2,45.32,49,3,18.57,clear sky
137,Chokurdakh,RU,70.6333,147.9167,-45.24,100,65,1.77,broken clouds
138,Vestmannaeyjar,IS,63.4427,-20.2734,29.25,70,100,23.42,overcast clouds
139,Komsomolskiy,UZ,40.4272,71.7189,34.52,93,75,6.91,mist
140,Ulaangom,MN,49.9811,92.0667,-16.47,98,100,2.84,overcast clouds
141,Pangnirtung,CA,66.1451,-65.7125,-5.39,97,100,1.79,overcast clouds
142,Waipawa,NZ,-41.4122,175.5153,68.41,62,98,18.45,overcast clouds
143,Georgetown,MY,5.4112,100.3354,84.13,78,20,5.75,few clouds
144,Port Moresby,PG,-9.4431,147.1797,81.82,78,100,11.5,overcast clouds
145,Esperance,AU,-33.8667,121.9,68.54,56,46,15.5,scattered clouds
146,Aksu,CN,41.1231,80.2644,17.47,54,100,2.84,overcast clouds
147,Nishihara,JP,26.1842,127.7558,65.48,61,75,17.27,broken clouds
148,Rawlins,US,41.7911,-107.2387,20.35,79,100,20.71,overcast clouds
149,Ust-Ishim,RU,57.6935,71.1665,13.26,98,99,2.42,overcast clouds
150,Beloha,MG,-25.1667,45.05,70.47,84,100,8.08,overcast clouds
151,Grand Island,US,40.925,-98.342,29.28,86,100,16.11,overcast clouds
152,Brownsville,US,25.9018,-97.4975,71.58,91,0,11.5,clear sky
153,Slave Lake,CA,55.2834,-114.769,12.06,96,59,3.31,broken clouds
154,Provideniya,RU,64.3833,-173.3,-5.49,95,98,7.65,overcast clouds
155,Port Elizabeth,ZA,-33.918,25.5701,71.1,92,75,21.85,broken clouds
156,Vega De Alatorre,MX,20.0333,-96.6333,75.22,76,36,3.58,scattered clouds
157,Mar Del Plata,AR,-38.0023,-57.5575,64.87,73,0,3.44,clear sky
158,Shelburne,CA,44.0787,-80.2041,32.79,99,100,7.94,snow
159,Kruisfontein,ZA,-34.0033,24.7314,68.88,86,100,17.47,overcast clouds
160,Bilma,NE,18.6853,12.9164,57.31,34,0,6.46,clear sky
161,Paamiut,GL,61.994,-49.6678,13.73,61,100,9.66,overcast clouds
162,Clyde River,CA,70.4692,-68.5914,-23.57,69,20,5.75,few clouds
163,Ikongo,MG,-21.8833,47.4333,67.84,95,100,2.35,overcast clouds
164,Nanortalik,GL,60.1432,-45.2371,14.94,56,22,8.55,few clouds
165,Kungalv,SE,57.871,11.9805,37.11,96,100,9.15,light snow
166,May Pen,JM,17.9645,-77.2451,78.01,88,2,4.61,clear sky
167,Rock Sound,BS,24.9,-76.2,77.31,74,56,14.16,broken clouds
168,Mahebourg,MU,-20.4081,57.7,77.29,78,40,4.61,scattered clouds
169,Touros,BR,-5.1989,-35.4608,78.42,79,88,11.3,overcast clouds
170,Angoche,MZ,-16.2325,39.9086,73.81,88,74,4.76,broken clouds
171,Nyurba,RU,63.2842,118.3319,-16.24,99,100,4.14,overcast clouds
172,Masalli,KR,34.7959,126.6553,35.28,60,30,5.82,scattered clouds
173,Fairbanks,US,64.8378,-147.7164,-0.9,80,0,0.0,clear sky
174,Atambua,ID,-9.1061,124.8925,78.73,78,62,8.84,broken clouds
175,Votice,CZ,49.6401,14.6381,33.94,8,10,5.46,clear sky
176,Muisne,EC,0.6,-80.0333,74.73,81,93,3.15,overcast clouds
177,Buchanan,LR,5.8808,-10.0467,73.96,82,12,2.77,few clouds
178,Bukama,CD,-9.2,25.85,66.34,95,99,3.02,overcast clouds
179,Mairi,BR,-11.7114,-40.1489,69.39,97,100,3.96,overcast clouds
180,Ust-Kut,RU,56.7938,105.7672,2.25,98,100,2.73,overcast clouds
181,Chapais,CA,49.7834,-74.8492,22.78,95,100,4.9,overcast clouds
182,Nacala,MZ,-14.5428,40.6728,74.3,94,100,1.74,moderate rain
183,San Quintin,MX,30.4833,-115.95,58.93,75,100,2.51,overcast clouds
184,Carnarvon,AU,-24.8667,113.6333,87.94,54,95,8.1,overcast clouds
185,Saint George,US,37.1041,-113.5841,41.95,85,0,0.0,clear sky
186,Marondera,ZW,-18.1853,31.5519,58.98,87,99,1.52,overcast clouds
187,Richards Bay,ZA,-28.783,32.0377,72.54,87,52,11.52,broken clouds
188,Santa Cruz De Tenerife,ES,28.4682,-16.2546,64.72,92,40,8.05,scattered clouds
189,Qarqin,AF,37.4185,66.0436,44.47,37,67,14.32,broken clouds
190,Katihar,IN,25.5333,87.5833,52.68,67,0,6.71,clear sky
191,Port Alfred,ZA,-33.5906,26.891,70.18,88,98,7.0,overcast clouds
192,Los Llanos De Aridane,ES,28.6585,-17.9182,62.13,74,40,14.0,scattered clouds
193,Plettenberg Bay,ZA,-34.0527,23.3716,67.77,81,100,9.4,overcast clouds
194,Rodding,DK,55.3657,9.0632,42.85,91,100,20.11,moderate rain
195,Mazatlan,MX,23.2167,-106.4167,72.01,83,0,5.01,clear sky
196,San Jeronimo,PE,-11.9472,-75.2829,47.7,92,100,5.3,overcast clouds
197,Tahoua,NE,14.8888,5.2692,61.99,22,2,15.39,clear sky
198,Krugersdorp,ZA,-26.0858,27.7752,61.63,80,4,1.88,clear sky
199,Miyako,JP,39.6367,141.9525,34.0,47,86,13.62,overcast clouds
200,Pilar,BR,-9.5972,-35.9567,73.33,93,83,4.72,broken clouds
201,Codrington,AU,-38.2667,141.9667,60.78,51,98,15.05,overcast clouds
202,Alekseyevsk,RU,57.8406,108.3492,7.99,97,100,3.62,light snow
203,Najran,SA,17.4924,44.1277,52.45,75,5,1.12,clear sky
204,Tautira,PF,-17.7333,-149.15,80.17,81,82,18.32,broken clouds
205,San Policarpo,PH,12.1791,125.5072,80.04,86,100,17.18,light rain
206,Sakhnovshchyna,UA,49.1517,35.872,39.94,92,100,12.91,overcast clouds
207,Yellowknife,CA,62.456,-114.3525,5.56,92,100,6.91,light snow
208,Gat,IL,31.61,34.7642,56.39,100,97,2.17,overcast clouds
209,Raton,US,36.9034,-104.4391,32.61,37,20,5.75,few clouds
210,Constitucion,CL,-35.3333,-72.4167,62.71,67,0,12.08,clear sky
211,Santa Rosa,PH,14.3122,121.1114,83.01,71,100,17.47,light rain
212,San Antonio,US,29.4241,-98.4936,68.49,38,75,5.75,broken clouds
213,Norman Wells,CA,65.282,-126.8329,-2.16,78,40,5.75,scattered clouds
214,Ilo,PE,-17.6394,-71.3375,69.96,84,41,4.97,scattered clouds
215,Abnub,EG,27.2696,31.1511,53.17,81,0,6.91,clear sky
216,Mocuba,MZ,-16.8392,36.9856,72.0,89,77,4.12,broken clouds
217,Kavieng,PG,-2.5744,150.7967,78.87,82,100,13.31,light rain
218,Port Lincoln,AU,-34.7333,135.8667,62.49,59,98,15.79,overcast clouds
219,Turan,VN,16.0678,108.2208,71.58,78,75,4.61,broken clouds
220,Yulara,AU,-25.2406,130.9889,80.2,32,100,17.74,overcast clouds
221,Coronel Fabriciano,BR,-19.5186,-42.6289,69.84,94,75,5.75,broken clouds
222,Avarua,CK,-21.2078,-159.775,78.85,69,40,6.91,scattered clouds
223,Bethel,US,41.3712,-73.414,53.33,89,100,3.0,overcast clouds
224,Praya,CV,14.9215,-23.5087,72.14,83,20,17.27,few clouds
225,Brae,GB,60.3964,-1.353,43.7,93,100,7.29,light rain
226,Banepa,NP,27.6298,85.5214,41.32,87,20,2.3,mist
227,Rio Gallegos,AR,-51.6226,-69.2181,59.05,55,75,5.75,broken clouds
228,Praia,CV,14.9215,-23.5087,72.14,83,20,17.27,few clouds
229,Biak,ID,-0.9131,122.8766,84.2,62,98,1.41,overcast clouds
230,Arman,RU,59.7,150.1667,3.6,80,100,10.92,overcast clouds
231,Inhambane,MZ,-23.865,35.3833,72.86,89,24,3.06,few clouds
232,Ahipara,NZ,-35.1667,173.1667,68.18,96,100,16.62,heavy intensity rain
233,Auray,FR,47.6703,-2.9918,56.48,96,100,22.95,overcast clouds
234,Sungaipenuh,ID,-2.0833,101.3833,68.97,82,100,0.94,overcast clouds
235,Magadan,RU,59.5667,150.8,7.11,70,99,12.24,overcast clouds
236,Candolim,IN,15.5181,73.7626,75.2,88,40,4.61,mist
237,Le Mars,US,42.7942,-96.1656,26.11,93,100,13.8,overcast clouds
238,Victoria,HK,22.2855,114.1577,65.25,77,76,8.99,broken clouds
239,Kuching,MY,1.55,110.3333,82.99,87,40,7.0,light intensity shower rain
240,Gwadar,PK,25.1216,62.3254,62.85,35,4,20.36,clear sky
241,Santo Antonio Do Ica,BR,-3.1022,-67.9397,73.04,98,99,3.0,overcast clouds
242,Tagusao,PH,9.1924,117.8141,77.92,91,100,8.5,moderate rain
243,Luangwa,ZM,-15.6167,30.4167,69.64,91,75,3.58,broken clouds
244,Iqaluit,CA,63.7506,-68.5145,-0.31,84,100,3.44,light snow
245,Faya,SA,18.3851,42.4509,52.32,82,25,4.03,scattered clouds
246,College,US,64.8569,-147.8028,-1.91,79,40,0.0,scattered clouds
247,Saint-Pierre,RE,-21.3393,55.4781,76.68,65,22,6.91,few clouds
248,Pevek,RU,69.7008,170.3133,-37.66,100,100,3.53,overcast clouds
249,Itarema,BR,-2.9248,-39.9167,79.12,79,37,14.74,scattered clouds
250,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,80,96,11.45,overcast clouds
251,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,71.49,88,100,7.7,overcast clouds
252,Port Macquarie,AU,-31.4333,152.9167,78.89,63,5,12.06,clear sky
253,Nome,US,64.5011,-165.4064,21.27,93,100,10.36,overcast clouds
254,Poum,NC,-20.2333,164.0167,78.49,68,6,8.9,clear sky
255,Medea,DZ,36.2642,2.7539,43.61,50,20,2.19,few clouds
256,Torokszentmiklos,HU,47.1833,20.4167,41.05,100,100,0.0,fog
257,Galle,LK,6.0367,80.217,75.58,81,98,3.8,overcast clouds
258,Naples,IT,40.8333,14.25,57.25,80,40,2.3,scattered clouds
259,Hermon,US,44.8101,-68.9134,38.39,93,100,5.75,mist
260,Puri,IN,19.8,85.85,64.92,69,2,10.58,clear sky
261,San Juan De Los Lagos,MX,21.25,-102.3,59.18,42,0,2.71,clear sky
262,Coahuayana,MX,18.7333,-103.6833,71.46,79,0,1.14,clear sky
263,Chernyshevskiy,RU,63.0128,112.4714,-35.5,100,77,3.04,broken clouds
264,Kirakira,SB,-10.4544,161.9205,82.08,81,100,8.3,light rain
265,Palmer,US,42.1584,-72.3287,43.65,85,100,0.0,mist
266,Necochea,AR,-38.5473,-58.7368,61.32,63,7,6.71,clear sky
267,Soyo,AO,-6.1349,12.3689,77.85,87,100,5.12,moderate rain
268,Longyearbyen,SJ,78.2186,15.6401,28.24,86,75,17.27,light snow
269,Tarakan,ID,3.3,117.6333,76.5,94,75,5.75,broken clouds
270,Shingu,JP,33.7333,135.9833,48.79,46,2,14.09,clear sky
271,Yenagoa,NG,4.9247,6.2642,73.6,82,13,2.44,few clouds
272,Torbay,CA,47.6666,-52.7314,29.26,81,100,10.36,overcast clouds
273,Waingapu,ID,-9.6567,120.2641,83.8,71,89,20.6,overcast clouds
274,Pisco,PE,-13.7,-76.2167,69.85,78,0,3.44,clear sky
275,Mizan Teferi,ET,6.9833,35.5833,60.69,74,3,2.75,clear sky
276,Severo-Kurilsk,RU,50.6789,156.125,20.75,52,100,9.42,overcast clouds
277,Naivasha,KE,-0.7167,36.4359,56.1,94,16,3.83,few clouds
278,Price,US,39.5994,-110.8107,20.46,73,75,6.91,broken clouds
279,Changji,CN,44.0167,87.3167,3.99,85,75,4.47,mist
280,Ranong,TH,9.9658,98.6348,76.93,67,45,7.23,scattered clouds
281,Hella,NO,67.2,14.4333,26.89,82,5,19.57,clear sky
282,Alofi,NU,-19.0595,-169.9187,84.09,61,90,13.8,overcast clouds
283,Concepcion,CL,-36.827,-73.0498,64.2,63,0,10.36,clear sky
284,New Norfolk,AU,-42.7826,147.0587,62.92,50,98,3.0,overcast clouds
285,Eyl,SO,7.9803,49.8164,74.89,74,98,19.24,overcast clouds
286,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,67,0,6.71,clear sky
287,Bastia,FR,42.6667,9.3333,55.29,86,0,4.61,clear sky
288,Roald,NO,62.5833,6.1333,37.54,48,100,13.8,overcast clouds
289,San Andres,CO,12.5847,-81.7006,80.62,78,20,9.22,few clouds
290,Kushmurun,KZ,52.4503,64.6311,10.62,93,65,8.14,broken clouds
291,Oranjemund,NA,-28.55,16.4333,64.26,84,12,5.84,few clouds
292,Ostrovnoy,RU,68.0531,39.5131,24.55,92,100,26.66,snow
293,Zhanakorgan,KZ,43.9098,67.2495,29.55,90,100,8.7,overcast clouds
294,Grafton,US,42.207,-71.6856,39.56,91,100,1.81,moderate rain
295,Hirara,JP,24.8,125.2833,66.47,77,75,21.85,broken clouds
296,Terrace,CA,54.5163,-128.6035,33.71,93,75,3.44,broken clouds
297,Yar-Sale,RU,66.8333,70.8333,7.57,94,100,13.94,light snow
298,Santa Cruz,BO,-17.8,-63.1667,74.66,94,75,3.44,broken clouds
299,Kalispell,US,48.1958,-114.3129,21.24,93,100,0.0,overcast clouds
300,Mount Isa,AU,-20.7333,139.5,87.57,55,97,3.44,overcast clouds
301,Cidreira,BR,-30.1811,-50.2056,69.93,84,100,5.19,overcast clouds
302,Alice Springs,AU,-23.7,133.8833,88.21,40,100,13.8,overcast clouds
303,Ahuimanu,US,21.4447,-157.8378,80.62,61,20,10.36,few clouds
304,Zasheyek,RU,67.4066,32.5499,15.94,95,100,6.87,overcast clouds
305,Lydenburg,ZA,-25.0978,30.4597,58.03,87,15,0.65,few clouds
306,Hailey,US,43.5196,-114.3153,13.86,79,0,8.05,clear sky
307,Shar,KZ,49.5886,81.0453,25.23,71,100,25.05,overcast clouds
308,Flinders,AU,-34.5833,150.8552,68.38,87,98,7.9,overcast clouds
309,Roma,US,43.2128,-75.4557,52.09,98,100,5.75,overcast clouds
310,Apolda,DE,51.0167,11.5,47.28,61,7,5.01,clear sky
311,Homer,US,59.6425,-151.5483,37.29,77,0,4.61,clear sky
312,Fortuna,US,40.5982,-124.1573,52.66,75,100,20.71,overcast clouds
313,Nchelenge,ZM,-9.3451,28.734,67.12,90,100,5.32,overcast clouds
314,Huarmey,PE,-10.0681,-78.1522,69.67,84,100,7.45,overcast clouds
315,Isangel,VU,-19.55,169.2667,84.69,65,58,9.33,broken clouds
316,Salalah,OM,17.0151,54.0924,71.69,68,0,2.3,clear sky
317,Bantry,IE,51.6833,-9.45,54.79,89,100,23.58,overcast clouds
318,Garowe,SO,8.4054,48.4845,67.39,75,18,9.6,few clouds
319,Verkhnevilyuysk,RU,63.4453,120.3167,-4.54,99,100,4.18,overcast clouds
320,Darnah,LY,32.767,22.6367,60.01,64,100,12.84,overcast clouds
321,Neryungri,RU,56.6709,124.6491,-12.23,96,94,2.26,overcast clouds
322,Duluth,US,46.7833,-92.1066,31.68,92,100,27.63,snow
323,Olafsvik,IS,64.8945,-23.7142,31.89,64,100,7.72,overcast clouds
324,Mezhdurechensk,RU,53.6942,88.0603,17.82,96,100,3.87,light snow
325,Aasiaat,GL,68.7098,-52.8699,-13.72,94,99,13.65,overcast clouds
326,Galesong,ID,-5.3166,119.3661,73.42,81,97,16.67,overcast clouds
327,Olenino,RU,56.2092,33.4889,24.67,89,100,10.87,overcast clouds
328,Hofn,IS,64.2539,-15.2082,34.95,66,88,24.43,overcast clouds
329,Torres,BR,-29.3353,-49.7269,69.82,84,100,5.95,overcast clouds
330,Ejido,VE,8.5514,-71.2375,65.3,88,89,1.77,overcast clouds
331,Tessalit,ML,20.1986,1.0114,57.79,30,0,11.21,clear sky
332,Carutapera,BR,-1.195,-46.02,75.88,94,59,5.48,broken clouds
333,Namibe,AO,-15.1961,12.1522,74.39,77,100,6.93,overcast clouds
334,Lompoc,US,34.6391,-120.4579,57.78,90,40,3.44,scattered clouds
335,Hamilton,US,39.1834,-84.5333,59.61,91,100,11.5,overcast clouds
336,Statesville,US,35.7826,-80.8873,59.36,68,100,3.44,moderate rain
337,Taltal,CL,-25.4,-70.4833,66.96,78,15,5.26,few clouds
338,Arroyo,ES,41.6096,-4.7969,33.6,91,100,3.44,fog
339,Mandera,KE,3.9366,41.867,76.1,37,1,9.8,clear sky
340,Margate,GB,51.3813,1.3862,54.88,89,100,8.99,overcast clouds
341,Lugovoy,KZ,42.9472,72.7644,32.38,92,100,8.01,light snow
342,Coquimbo,CL,-29.9533,-71.3436,60.53,100,0,3.44,clear sky
343,Sao Filipe,CV,14.8961,-24.4956,74.8,62,60,10.56,broken clouds
344,Naze,JP,28.3667,129.4833,56.32,54,29,15.84,scattered clouds
345,Bubaque,GW,11.2833,-15.8333,77.97,73,3,7.47,clear sky
346,Kapit,MY,2.0167,112.9333,76.98,89,100,1.5,overcast clouds
347,Urumqi,CN,43.801,87.6005,0.55,85,75,4.47,mist
348,Khingansk,RU,49.1167,131.1833,-6.63,96,93,6.08,overcast clouds
